Дата,"Пробег, км","Объем,л",Сумма,Цена за л,Валюта,Комментарий
12/20/2014,18,20,700,35,RUR,
12/20/2014,218,27,945,35,RUR,
12/24/2014,,43.85,499890,11400,BYR,
12/26/2014,,20,228000,11400,BYR,
1/6/2015,,39.4,449160,11400,BYR,
1/12/2015,2048,34.66,395124,11400,BYR,
1/18/2015,2462,26.05,309995,11900,BYR,
1/25/2015,2837,40.06,476714,11900,BYR,
2/1/2015,3289,36.56,435064,11900,BYR,
2/13/2015,3838,21,249900,11900,BYR,
2/19/2015,4032,33.61,399959,11900,BYR,
2/27/2015,4399,33.61,399959,11900,BYR,
3/1/2015,4800,29.11,346409,11900,BYR,
3/12/2015,5435,42,499800,11900,BYR,
3/28/2015,5982,42.22,502418,11900,BYR,
3/2/2015,6546,42.02,500038,11900,BYR,аппроксимация
4/18/2015,6890,25.21,299999,11900,BYR,
4/21/2015,7225,20.16,239904,11900,BYR,
4/25/2015,7683,42.02,500038,11900,BYR,
5/8/2015,8200,20,238000,11900,BYR,
5/12/2015,8378,38.49,458031,11900,BYR,
5/23/2015,8933,41.94,499086,11900,BYR,
5/5/2015,9428,42.01,499919,11900,BYR,
6/7/2015,9850,33.61,399959,11900,BYR,
6/12/2015,10355,25.21,299999,11900,BYR,
6/25/2015,10628,30,357000,11900,BYR,
7/1/2015,11190,30,357000,11900,BYR,
7/3/2015,11560,30,357000,11900,BYR,В баке около 7 л горючего
7/4/2015,,18.61,221459,11900,BYR,
7/5/2015,12015,33.95,404005,11900,BYR,
7/10/2015,12474,30.77,400010,13000,BYR,98
7/18/2015,12923,38.46,499980,13000,BYR,98
7/26/2015,13391,41.25,536250,13000,BYR,98
8/2/2015,13901,37.57,447083,11900,BYR,
8/7/2015,14246,25.21,299999,11900,BYR,
8/9/2015,14596,25.21,299999,11900,BYR,
8/13/2015,15161,42.01,499919,11900,BYR,
8/21/2015,15500,25.21,299999,11900,BYR,
8/23/2015,15875,34.65,412335,11900,BYR,
8/28/2015,16373,38.11,453509,11900,BYR,
8/30/2015,16696,25.29,300951,11900,BYR,
9/2/2015,17176,29.41,349979,11900,BYR,
9/9/2015,17551,42.02,500038,11900,BYR,
9/17/2015,18139,42.02,500038,11900,BYR,
9/27/2015,18580,42.01,499919,11900,BYR,
10/7/2015,19110,33.62,400078,11900,BYR,
10/11/2015,19568,42.29,503251,11900,BYR,
10/15/2015,20071,42.02,500038,11900,BYR,
10/23/2015,20396,25.21,299999,11900,BYR,
10/25/2015,20733,26.03,309757,11900,BYR,
10/30/2015,21344,42.02,500038,11900,BYR,
11/8/2015,21768,36.4,433160,11900,BYR,
,,,0,11900,BYR,В баке было около 13.6 л
,,,0,11900,BYR,
,,,0,11900,BYR,